Filename,site,Prefix,N_column,S_column,Start_year,End_year,N_years,p_val_ttest,p_val_slope,std_N,std_S,Mean,Slope,R2
ak029.rwl.csv,AK029,WS1,WS1N,WS1S,1901,1989,89,2.00E-05,5.61E-11,0.224512808,0.173305307,0.949913845,0.012652408,0.391309268
ak029.rwl.csv,AK029,WS5,WS5N,WS5S,1901,1989,89,0.007743527,7.97E-07,0.330969688,0.255069339,1.288448498,0.008735148,0.245440317
ak048.rwl.csv,AK048,BRCL39,BRCL39N,BRCL39S,1901,2001,101,0.436647392,0.002739642,0.147270879,0.247341566,1.022663572,-0.005474808,0.087068174
ak048.rwl.csv,AK048,BRCL19,BRCL19N,BRCL19S,1901,2001,101,0.463866149,0.005947879,0.448625024,0.413476256,1.043467811,0.002679759,0.073933248
ak048.rwl.csv,AK048,BRCL31,BRCL31N,BRCL31S,1901,2001,101,2.57E-08,2.54E-05,0.421802843,0.257305827,0.834724592,-0.004996247,0.164779518
ak048.rwl.csv,AK048,BRCL65,BRCL65N,BRCL65S,1901,2001,101,0.770399302,3.86E-10,0.203044856,0.224696508,1.025005806,0.009025886,0.328146495
ak048.rwl.csv,AK048,BRCL02,BRCL02N,BRCL02S,1901,2001,101,5.12E-09,0.00215036,0.353658924,0.488386148,1.238663395,0.004318077,0.091167414
ak048.rwl.csv,AK048,BRCL66,BRCL66N,BRCL66S,1901,2001,101,9.49E-07,9.49E-09,0.219806013,0.160128534,1.673110065,-0.016200392,0.284236595
ak048.rwl.csv,AK048,BRCL41,BRCL41N,BRCL41S,1901,2001,101,0.959593422,0.000108185,0.498258656,0.220807881,1.495434028,0.013194923,0.141142937
ak048.rwl.csv,AK048,BRCL78B,BRCL78BN,BRCL78BS,1901,2001,101,0.123541727,2.19E-10,0.248106106,0.202650875,1.390722428,-0.01302739,0.335625558
ak048.rwl.csv,AK048,BRCL27,BRCL27N,BRCL27S,1901,2001,101,3.75E-05,6.46E-10,0.201264225,0.223395275,1.316301942,0.011497142,0.321260255
ak048.rwl.csv,AK048,BRCL80,BRCL80N,BRCL80S,1901,2001,101,2.85E-07,7.82E-13,0.225429781,0.182972198,0.851912725,0.010040918,0.406046651
ak048.rwl.csv,AK048,BRCL76,BRCL76N,BRCL76S,1901,2001,101,0.769654457,0.01799585,0.256725882,0.19010545,1.107866905,-0.002373834,0.055231826
ak048.rwl.csv,AK048,BRCL64,BRCL64N,BRCL64S,1901,2001,101,7.40E-06,0.001433073,0.200028931,0.201181433,1.202037041,0.003701978,0.098025674
ak048.rwl.csv,AK048,BRCL44,BRCL44N,BRCL44S,1901,2001,101,0.551726381,0.001643843,0.251865496,0.35456523,1.08657401,0.005613968,0.095708416
ak049.rwl.csv,AK049,BRNF64,BRNF64N,BRNF64S,1901,2001,101,2.29E-20,2.77E-15,0.36831455,0.183629256,0.741860999,0.005221122,0.469290303
