Filename,site,Prefix,N_column,S_column,Start_year,End_year,N_years,Mean
ak029.rwl.csv,ak029,WS1,WS1N,WS1S,1901,1989,89,0.949913845
ak029.rwl.csv,ak029,WS5,WS5N,WS5S,1901,1989,89,1.288448498
ak048.rwl.csv,ak048,BRCL39,BRCL39N,BRCL39S,1901,2001,101,1.022663572
ak048.rwl.csv,ak048,BRCL19,BRCL19N,BRCL19S,1901,2001,101,1.043467811
ak048.rwl.csv,ak048,BRCL31,BRCL31N,BRCL31S,1901,2001,101,0.834724592
ak048.rwl.csv,ak048,BRCL65,BRCL65N,BRCL65S,1901,2001,101,1.025005806
ak048.rwl.csv,ak048,BRCL02,BRCL02N,BRCL02S,1901,2001,101,1.238663395
ak048.rwl.csv,ak048,BRCL66,BRCL66N,BRCL66S,1901,2001,101,1.673110065
ak048.rwl.csv,ak048,BRCL41,BRCL41N,BRCL41S,1901,2001,101,1.495434028
ak048.rwl.csv,ak048,BRCL78B,BRCL78BN,BRCL78BS,1901,2001,101,1.390722428
ak048.rwl.csv,ak048,BRCL27,BRCL27N,BRCL27S,1901,2001,101,1.316301942
ak048.rwl.csv,ak048,BRCL80,BRCL80N,BRCL80S,1901,2001,101,0.851912725
ak048.rwl.csv,ak048,BRCL76,BRCL76N,BRCL76S,1901,2001,101,1.107866905
ak048.rwl.csv,ak048,BRCL64,BRCL64N,BRCL64S,1901,2001,101,1.202037041
ak048.rwl.csv,ak048,BRCL44,BRCL44N,BRCL44S,1901,2001,101,1.08657401
ak049.rwl.csv,ak049,BRNF64,BRNF64N,BRNF64S,1901,2001,101,0.741860999
ak049.rwl.csv,ak049,BRNF51,BRNF51N,BRNF51S,1901,2001,101,1.046316518
ak049.rwl.csv,ak049,BRNF48,BRNF48N,BRNF48S,1901,2001,101,1.511087316
ak049.rwl.csv,ak049,BRNF12,BRNF12N,BRNF12S,1901,1994,94,0.896058165
ak049.rwl.csv,ak049,BRNF61,BRNF61N,BRNF61S,1901,2001,101,1.168279773
ak049.rwl.csv,ak049,BRNF53,BRNF53N,BRNF53S,1901,2001,101,1.703347406
ak049.rwl.csv,ak049,BRNF60,BRNF60N,BRNF60S,1909,2001,93,1.230129872
ak049.rwl.csv,ak049,BRNF49,BRNF49N,BRNF49S,1943,2001,59,1.870483527
ak049.rwl.csv,ak049,BRNF66,BRNF66N,BRNF66S,1926,2001,76,1.04729211
ak049.rwl.csv,ak049,BRNF31,BRNF31N,BRNF31S,1901,2001,101,1.072836304
ak049.rwl.csv,ak049,BRNF23,BRNF23N,BRNF23S,1919,2001,83,0.728357825
ak049.rwl.csv,ak049,BRNF35,BRNF35N,BRNF35S,1901,2001,101,0.850400707
