Latitude,Longitude,Slope_P,Mean,Slope_Mean,ai_v3,Tree_Speci,site,eps,snr,start_year,end_year
32.377,-110.685,1,0.939493444,0.008714555,0.29993,PSME,az566,0.988,84.765,1698,2009
33.440325,108.654847,0.727272727,1.08866574,0.005646901,0.776921,CHPN,chn088,0.848,5.586,1872,2018
35.554255,108.905503,0.25,0.960634284,-0.003993917,0.459964,CHPN,chn089,0.95,19.167,1913,2018
36.768,-5.41583,0.5,0.915006218,-0.002493125,0.572745,ABPN,spai074,0.934,14.043,1785,1998
41.115,-74.42,0.777777778,1.328090551,0.002253675,1.21966,CHTH,nj011,0.934,14.161,1764,2015
41.206,-74.326,0.230769231,1.11729853,-0.002928851,1.20407,CHTH,nj010,0.974,37.078,1845,2015
41.365,-72.65,0.571428571,1.1436814,0.001405221,1.08084,CHTH,ct003,0.984,61.84,1814,2015
41.856,-111.503,0.642857143,0.96130217,0.002637872,0.361686,PCEN,ut555,0.931,13.56,1790,2015
42.526,-71.948,0.538461538,1.125496951,4.51E-05,1.13323,CHTH,ma035,0.956,21.703,1803,2014
44.33,-68.3,0,0.787304592,-0.009373538,1.34857,PIST,me035,0.794,3.852,1886,1992
44.37,-68.27,0.25,0.823514912,-0.004939658,1.3375,PIST,me033,0.941,15.907,1840,1992
46.47,-84.87,0.4,1.2181481,-0.000967384,0.945124,TSCA,mi009,0.937,15,1510,1983
46.88,-87.93,0.444444444,1.074553417,-0.000550435,0.867704,TSCA,mi025,0.989,87.923,1777,2015
46.88,-87.91,0.7,1.302486356,0.011121025,0.863036,TSCA,mi024,0.956,21.907,1747,2015
46.8833,6.5667,0.571428571,0.893417438,0.001086466,1.65499,PCAB,swit204,0.975,39.136,1800,1990
47.2931,7.4317,0.72,1.220857763,0.0082685,1.58912,PISY,swit241,0.991,111.179,1915,1994
47.2975,7.9597,0.888888889,1.124237272,0.00850424,1.41559,FASY,swit367,0.85,5.677,1906,1997
47.3333,7.9167,0.655172414,1.146958244,0.00526552,1.41147,FASY,swit200,0.981,50.825,1857,1994
47.4272,7.6881,0.333333333,1.044810692,0.002409239,1.41861,PISY,swit365,0.991,112.094,1929,1996
47.4753,7.9408,0.444444444,1.441876657,0.00780386,1.65477,FASY,swit322,0.963,26.074,1801,1997
47.5994,8.5214,0.4375,1.011970784,0.00169372,1.11712,PISY,swit234,0.982,55.36,1917,1995
49.15,-117.9,0.75,0.983594655,0.001242034,1.0715,PCEN,cana229,0.893,8.319,1724,1997
49.5,94.5833,0.8,1.114474298,0.004377356,0.256382,LASI,mong023,0.942,16.121,1613,1998
49.6333,-116.45,0.5,1.187328944,0.000784378,1.09754,PIAL,cana402,0.972,34.204,1303,1999
49.7167,-115.5833,0.666666667,1.137514073,0.001588927,0.788233,PIAL,cana399,0.952,19.859,1477,1999
49.7833,-114.6333,0.4,1.17866633,0.001934974,0.863212,LALY,cana416,0.942,16.232,1712,1993
49.8667,91.4333,0.6,1.01393098,4.68E-05,0.254111,LASI,mong029,0.964,26.6,1249,1998
50.2,-115.2167,0.8,0.933774115,0.005714095,0.808716,PIAL,cana397,0.968,30.52,1720,1999
50.25,-116.9,0.6,1.115636929,0.006074832,1.1586,PIAL,cana400,0.945,17.122,1571,1999
50.5,-116.3333,0.666666667,1.024501806,0.002679146,1.26662,PIAL,cana398,0.914,10.607,1390,1997
50.53,-120.58,0.4,0.863107071,-0.002463813,0.726,PCEN,cana239,0.947,17.941,1708,1997
51.15,99.083,0.25,1.018519628,-0.001967065,0.539982,LASI,mong040,0.989,92.721,715,2005
51.17,-118.13,0.75,1.255326299,0.012284428,2.11183,PCEN,can677,0.897,8.662,1700,2017
51.25,-117.52,0.714285714,1.547917913,0.00557576,2.18416,PCEN,cana223,0.778,3.5,1798,1997
51.6833,-116.5,0.8,1.58390213,0.008860223,1.26474,PIAL,cana356,0.972,35.346,1000,1999
52.2167,-117.2333,0.5,1.189072945,-0.001130933,0.984667,PCEN,cana430,0.974,37.69,920,1987
52.6833,-118.3333,0.25,0.989823437,-0.000534951,1.15913,PIAL,cana351,0.957,22.232,1104,1996
54.2,90.8333,0.75,1.224059897,0.003364631,0.530201,LAGM,russ215,0.958,23.058,1767,1996
55.31,-77.7,0.571428571,1.256531238,0.008645974,1.19697,PCGL,cana609,0.976,40.991,1821,2018
55.33,-3.5,0.333333333,1.39024695,0.002235339,2.19373,QURO,brit7,0.897,8.683,1824,1975
58.44917,-135.58623,0.5,1.285426754,0.018054673,2.25031,PICO,ak200,0.959,23.221,1490,2008
58.63,-134.931,0.6,1.341811423,0.002820192,1.88462,CHNO,ak192,0.923,11.952,1644,2016
59.1933,-129.6575,0.833333333,1.108162396,0.012302673,0.967393,ABLA,cana364,0.968,30.549,1767,2002
59.3194,-129.8394,0.6,1.335492656,0.009035932,1.03395,ABLA,cana374,0.946,17.362,1726,2002
59.3239,-129.4897,0.384615385,1.02012698,-0.000475102,0.924804,ABLA,cana367,0.944,16.827,1802,2002
59.5167,-133.5,0.714285714,1.012474582,0.003070957,0.803271,ABLA,cana365,0.963,25.84,1752,1999
59.6,-133.4,0.5,1.222402035,0.0012173,0.706125,ABLA,cana382,0.975,38.913,1645,1999
59.7167,-133.6667,0.714285714,1.04237864,0.002066676,0.555398,ABLA,cana379,0.887,7.83,1756,1999
60.1,-130.6667,0.571428571,1.032157248,0.000416636,0.809541,ABLA,cana377,0.969,31.002,1737,1999
60.1122,-134.3581,0.5,0.917127778,-0.000902187,0.542055,ABLA,cana384,0.983,58.425,1670,2003
60.1617,-129.9903,0.4,1.034109926,-0.000173792,0.806933,ABLA,cana376,0.984,60.636,1862,2002
60.525,-128.8444,0.6,1.074252424,-0.00101698,0.789097,ABLA,cana372,0.935,14.422,1496,2002
60.5667,-134.6833,0.75,0.897810653,0.001115452,0.387911,PICO,cana389,0.973,36.62,1849,1999
60.5678,-133.0836,0.777777778,1.258018266,0.004611649,0.532893,ABLA,cana375,0.981,52.851,1796,2002
60.5947,-135.0669,0.6,1.067170974,0.001289948,0.463755,ABLA,cana366,0.938,15.206,1764,2003
60.6492,-135.165,0.857142857,0.982761575,0.003296633,0.478605,ABLA,cana387,0.985,63.773,1828,2003
61.0333,-138.5,0.692307692,1.331508514,0.006062768,0.664397,PCGL,cana354,0.977,43.011,913,2001
61.1167,-136.9833,0.5,1.083012396,-0.000283562,0.413187,PCGL,cana593,0.826,4.749,1692,1998
61.3667,-128.35,0.8,1.328554574,0.006478041,0.966136,ABLA,cana378,0.869,6.615,1697,2002
62.2789,-133.2664,0.75,1.066715834,0.004391392,0.477568,PCGL,cana604,0.929,13.03,1573,2005
62.2917,-133.2778,0.25,1.137574748,-0.005455286,0.483072,PCGL,cana597,0.961,24.849,1229,2004
63.1,-150,0.416666667,1.003770121,0.003089315,1.14977,PCGL,ak054,0.901,9.068,1735,2000
63.12,-149,0.416666667,1.003770121,0.003089315,0.83297,PCGL,ak056,0.901,9.068,1735,2000
63.8333,-137.3833,0.444444444,1.179068933,-0.001651805,0.548501,ABLA,cana383,0.974,37.751,1765,2001
67.12,-150.08,0.615384615,1.176037255,0.001384614,0.548829,PCGL,ak048,0.824,4.69,1725,2001
67.15,-150.08,0.48,1.114485526,0.001264037,0.55646,PCGL,ak049,0.916,10.885,1715,2001
67.15,-149.13,0.525,1.123887575,0.003179367,0.578105,PCGL,ak050,0.954,20.917,1731,2000
67.5,-150,0.5,1.078678964,-0.000379369,0.540125,PCGL,ak113,0.979,47.342,952,2000
67.9667,-149.7667,0.5,1.078678964,-0.000379369,0.574872,PCGL,ak104,0.965,27.406,1303,2000
70.3667,103.2667,0.6,1.273453515,0.00765682,0.65212,LAGM,russ217,0.923,11.947,1420,1995
72,102,0.666666667,0.889529465,0.003794669,0.68,LAGM,russ221,0.991,108.959,513,1997
