,site,Start_year,End_year,Mean,Prefix,Latitude,Location,Longitude,Subfolder,Tree_Speci,ai_v3,c_eff,eps,n,n_bt,n_cores,n_tot,n_trees,n_wt,rbar_bt,rbar_eff,rbar_tot,rbar_wt,snr,strat_year,end_year
0,ak048,1901,2001,1.1760372553755003,13,67.12,Alaska,-150.08,usa,PCGL,0.548829,1.924,0.824,38,2759,76,2800,38,41,0.09,0.11,0.098,0.624,4.69,1725,2001
1,ak049,1901,2001,1.1144855260638094,25,67.15,Alaska,-150.08,usa,PCGL,0.55646,1.65,0.916,55,4802,99,4847,55,45,0.138,0.165,0.142,0.582,10.885,1715,2001
2,ak050,1901,2000,1.1862202297388056,5,67.15,Alaska,-149.13,usa,PCGL,0.578105,1.855,0.954,79,11672,154,11751,79,79,0.173,0.209,0.176,0.623,20.917,1731,2000
3,ak051,1901,2001,1.061554919549316,4,67.15,Alaska,-149.13,usa,PCGL,0.578105,1.905,0.942,20,722,39,741,20,19,0.405,0.446,0.415,0.805,16.109,1828,2001
4,ak054,1901,2000,1.003770120558919,12,63.1,Alaska,-150.0,usa,PCGL,1.14977,1.836,0.901,55,5756,111,5821,55,65,0.117,0.142,0.122,0.617,9.068,1735,2000
5,ak056,1901,2000,1.003770120558919,12,63.12,Alaska,-149.0,usa,PCGL,0.83297,1.836,0.901,55,5756,111,5821,55,65,0.117,0.142,0.122,0.617,9.068,1735,2000
6,ak104,1901,2000,1.078678964376278,4,67.9667,Alaska,-149.7667,usa,PCGL,0.574872,1.189,0.965,88,6404,122,6446,88,42,0.219,0.237,0.221,0.513,27.406,1303,2000
7,ak113,1901,2000,1.078678964376278,4,67.5,Alaska,-150.0,usa,PCGL,0.540125,1.108,0.979,238,37772,294,37842,238,70,0.158,0.166,0.158,0.503,47.342,952,2000
8,ak192,1901,2015,1.3418114234491039,5,58.63,Alaska,-134.931,usa,CHNO,1.88462,1.611,0.923,29,1253,51,1275,29,22,0.242,0.292,0.248,0.553,11.952,1644,2016
9,ak200,1901,2006,1.2854267539548627,4,58.44917,Alaska,-135.58623,usa,PICO,2.25031,2.782,0.959,30,4233,95,4350,30,117,0.323,0.436,0.33,0.594,23.221,1490,2008
